iter	Passed	Remaining
0	1	142
1	2	122
2	3	113
3	4	101
4	5	97
5	6	96
6	7	94
7	8	92
8	9	91
9	10	90
10	10	88
11	11	87
12	13	87
13	14	86
14	15	85
15	16	84
16	17	83
17	18	83
18	19	82
19	20	81
20	21	79
21	22	78
22	23	77
23	23	75
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	69
32	33	68
33	34	67
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	41	57
42	42	55
43	43	54
44	44	53
45	45	52
46	46	51
47	46	50
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	53	44
55	54	43
56	55	42
57	56	41
58	57	40
59	58	39
60	59	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	70	27
72	71	26
73	72	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	94	6
94	94	4
95	96	4
96	97	3
97	98	2
98	99	1
99	99	0
