iter	Passed	Remaining
0	131	131406
1	132	66156
2	133	44377
3	134	33612
4	136	27104
5	137	22744
6	138	19599
7	139	17300
8	140	15477
9	141	13985
10	141	12757
11	142	11759
12	143	10922
13	144	10195
14	145	9551
15	146	9009
16	147	8539
17	148	8094
18	149	7702
19	149	7340
20	150	7016
21	151	6720
22	151	6454
23	153	6235
24	154	6011
25	154	5796
26	155	5595
27	155	5413
28	156	5250
29	157	5093
30	158	4950
31	159	4810
32	159	4676
33	160	4550
34	160	4431
35	161	4321
36	162	4217
37	162	4117
38	163	4022
39	163	3932
40	164	3849
41	165	3770
42	165	3692
43	166	3616
44	167	3545
45	167	3477
46	168	3411
47	168	3348
48	169	3290
49	170	3239
50	171	3187
51	172	3144
52	173	3097
53	173	3046
54	174	2997
55	175	2951
56	175	2906
57	176	2866
58	177	2826
59	177	2785
60	178	2746
61	178	2708
62	179	2670
63	180	2634
64	181	2606
65	181	2573
66	182	2541
67	183	2509
68	183	2478
69	184	2449
70	185	2422
71	186	2397
72	186	2372
73	187	2346
74	188	2322
75	188	2297
76	189	2272
77	190	2248
78	190	2224
79	191	2201
80	192	2178
81	192	2156
82	192	2131
83	193	2112
84	194	2096
85	195	2076
86	195	2056
87	196	2037
88	197	2018
89	197	1999
90	198	1982
91	199	1966
92	200	1951
93	201	1940
94	202	1926
95	202	1910
96	203	1894
97	204	1878
98	204	1863
99	205	1848
100	206	1835
101	207	1822
102	207	1808
103	208	1793
104	208	1779
105	209	1765
106	209	1752
107	210	1738
108	211	1725
109	211	1712
110	212	1700
111	213	1690
112	214	1680
113	215	1672
114	216	1663
115	216	1652
116	217	1639
117	218	1629
118	218	1619
119	219	1609
120	220	1599
121	220	1588
122	221	1577
123	221	1567
124	222	1556
125	222	1546
126	223	1535
127	224	1526
128	225	1519
129	225	1511
130	226	1502
131	227	1494
132	227	1485
133	228	1476
134	229	1470
135	230	1461
136	230	1452
137	231	1444
138	231	1436
139	232	1428
140	233	1420
141	233	1410
142	233	1402
143	234	1394
144	235	1387
145	235	1379
146	236	1372
147	237	1365
148	238	1359
149	238	1353
150	239	1346
151	240	1339
152	240	1332
153	241	1325
154	241	1319
155	242	1313
156	243	1307
157	244	1302
158	245	1296
159	245	1290
160	246	1282
161	246	1276
162	247	1270
163	248	1264
164	248	1259
165	249	1253
166	250	1247
167	250	1241
168	251	1235
169	251	1229
170	252	1223
171	252	1217
172	253	1211
173	254	1206
174	254	1201
175	255	1198
176	256	1193
177	257	1189
178	258	1185
179	259	1181
180	260	1176
181	261	1173
182	262	1170
183	262	1165
184	263	1160
185	264	1155
186	264	1150
187	265	1145
188	265	1140
189	266	1135
190	267	1131
191	267	1126
